Região administrativa,Num de veiculos,% de veiculos,Aluguel medio,Dist centro, lat, lon
Plano Piloto, 74038, 86.9, 2268, 0, -15.7974219, -47.8780898
Gama, 25485, 65.0, 965, 30, -16.0188577, -48.0679507
Taguatinga, 45951, 72.0, 1037, 19, -15.8032275, -48.0175522
Brazlândia, 8798, 56.1, 850, 59, -15.6226035, -48.1347500
Sobradinho, 13364, 72.9, 1003, 22, -15.6335570, -47.8298983
Planaltina, 31201, 60.3, 950, 39, -15.4681516, -47.6019885
Paranoá, 8273, 43.4, 1000, 25, -15.7843396, -47.7567336
Núcleo Bandeirante, 5129, 67.9, 829, 13, -15.8700685, -47.9728480
Ceilândia, 71020, 56.7, 895, 26, -15.8111721, -48.1333562
Guará, 33604, 81.3, 1.226, 11, -15.8156496, -47.9763303
Cruzeiro, 9458, 86.4, 6.718, 7, -15.7963974, -47.9253424
Samambaia, 40368, 58.7, 958, 25, -15.8859526, -48.1104076
Santa Maria, 21013, 57.4, 879, 26, -16.0026749, -47.9922792
São Sebastião, 18703, 56.4, 1000, 26, -15.9028899, -47.7760971
Recanto das Emas, 22602, 61.3, 1000, 26, -15.9090602, -48.0650169
Lago Sul, 8216, 96.9, 1978, 8, -15.8373841, -47.8754515
Riacho Fundo, 8968, 67.1, 885, 18, -15.8838711, -48.0194851
Lago Norte, 9929, 92.8, 1978, 8, -15.7194456, -47.8856073
Candangolândia, 3114, 67.5, 1000, 11, -15.8515383, -47.9510069
Águas Claras, 46837, 86.8, 1245, 20, -15.8382787, -48.0325427
Riacho Fundo II, 16319, 62.0, 885, 18, -15.8992271, -48.0493873
Sudoeste/Octogonal, 20538, 92.9, 2071, 7, -15.7947780, -47.9285454
Varjão, 1049, 38.5, 895, 11, -15.7093837, -47.8784321
Park Way, 5097, 93.6, 1978, 12, -15.8794012, -47.9678411
SCIA, 4804, 47.6, 999, 13, -15.7901012, -47.9809940
Sobradinho II, 19182, 78.5, 1003, 18, -15.6287044, -47.8062523
Jardim Botânico, 6961, 94.6, 1978, 15, -15.8631429, -47.8142417
Itapoã, 9894, 54.7, 999, 15, -15.7436018, -47.7672976
SIA, 540, 97.0, 999, 12, -15.7980661, -47.9533722
Vicente Pires, 16617, 86.3, 999, 13, -15.8000676, -48.0465100
Fercal, 1404, 61.0, 885, 24, -15.6045800, -47.8732135
